stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,wheelchair_boarding
21627,21627,BERNAL @ FUREY - N - NS,,32.788677,-96.877373,,,0
21628,21628,BERNAL @ FUREY - S - NS,,32.7891,-96.877602,,,0
21629,21629,BERNAL @ SHADRACK - W - NS,,32.790149,-96.879044,,,0
21630,21630,BERNAL @ SHADRACK - E - NS,,32.79,-96.879425,,,0
21631,21631,BERNAL @ PRINGLE - W - NS,,32.789772,-96.882035,,,0
21632,21632,BERNAL @ NORWICH - E - NS,,32.79,-96.882508,,,0
21633,21633,BERNAL @ BABCOCK - W - NS,,32.791259,-96.884179,,,0
21634,21634,BERNAL @ BABCOCK - E - NS,,32.791244,-96.884542,,,0
21635,21635,BERNAL @ MART - W - NS,,32.791259,-96.887528,,,0
21636,21636,BERNAL @ MART - E - FS,,32.79121,-96.887482,,,0
21637,21637,BERNAL @ WEISENBERGER - E - NS,,32.786197,-96.897286,,,0
21638,21638,BERNAL @ HAMMERLY - E - NS,,32.784729,-96.899048,,,1
21639,21639,BERNAL @ PALACIOS - E - MB,,32.782573,-96.901726,,,0
21642,21642,HALL @ ROSS - W - FS,,32.795664,-96.78935,,,0
21643,21643,HALL @ ROSS - E - MB,,32.795738,-96.789533,,,1
21647,21647,SHADY BROOK @ MELODY - N - MB,,32.868465,-96.763207,,,0
21650,21650,RIDGECREST @ HEMLOCK - W - MB1,,32.866344,-96.751816,,,0
21651,21651,RIDGECREST @ HEMLOCK - W - MB2,,32.866661,-96.753907,,,0
21652,21652,RIDGECREST @ EASTRIDGE - E - MB4,,32.866533,-96.753698,,,1
21653,21653,PINELAND @ FAIR OAKS - W - FS,,32.875999,-96.755073,,,1
21654,21654,PINELAND @ HOLLY HILL - W - NS,,32.877293,-96.756552,,,1
21655,21655,PINELAND @ ARETA - W - NS,,32.878336,-96.757771,,,0
21656,21656,PINELAND @ ARETA - E - NS,,32.878612,-96.758187,,,0
21657,21657,GREENVILLE @ WALNUT HILL - N - MB,,32.881287,-96.759727,,,1
21659,21659,CENTERVILLE @ NORTHWEST - S - FS,,32.860592,-96.643419,,,0
21660,21660,NORTHWEST @ PENDLETON - E - NS,,32.864006,-96.655564,,,1
21661,21661,NORTHWEST @ PENDLETON - W - FS,,32.864173,-96.655686,,,1
21662,21662,PANDORA @ PEGASUS - N - MB,,32.873123,-96.685326,,,0
21663,21663,PANDORA @ MCCREE - S - MB,,32.873546,-96.685486,,,1
21664,21664,WICKERSHAM @ WALLBROOK - N - FS,,32.875877,-96.690957,,,0
21665,21665,WICKERSHAM @ WALLBROOK - S - MB2,,32.87598,-96.691041,,,0
21666,21666,WICKERSHAM @ WALNUT HILL - N - MB,,32.877494,-96.690819,,,1
21667,21667,WICKERSHAM @ WALLBROOK - S - MB1,,32.877224,-96.690888,,,0
21668,21668,PANDORA @ AMANDA - W - MB,,32.874805,-96.687821,,,1
21669,21669,PANDORA @ PEGASUS - E - MB,,32.874778,-96.68792,,,1
21670,21670,ESTATE @ PLANO - W - MB2,,32.883155,-96.696587,,,0
21671,21671,ESTATE @ WALNUT HILL - E - MB1,,32.883167,-96.696763,,,1
21672,21672,NORTHWEST @ SUNLAND - W - NS,,32.864246,-96.687066,,,0
21673,21673,NORTHWEST @ GRENADIER - W - NS,,32.864261,-96.690705,,,0
21674,21674,NORTHWEST @ GRENADIER - E - FS,,32.864052,-96.690836,,,0
21675,21675,NORTHWEST @ LULLWATER - W - MB,,32.864296,-96.702004,,,1
21676,21676,NORTHWEST @ LAKE HIGHLANDS - E - MB,,32.864139,-96.702126,,,1
21679,21679,NORTHWEST @ BRIARWOOD - W - NS,,32.864486,-96.828331,,,0
21680,21680,NORTHWEST @ BRIARWOOD - E - NS,,32.863723,-96.829194,,,0
21681,21681,NORTHWEST @ MANCHESTER - W - FS,,32.863578,-96.833504,,,1
21682,21682,NORTHWEST @ MIXON - W - FS,,32.86173,-96.853277,,,0
21683,21683,NORTHWEST @ MIXON - E - FS,,32.861614,-96.852653,,,0
21684,21684,NORTHWEST @ KENDALE - W - NS,,32.858378,-96.875104,,,0
21685,21685,NORTHWEST @ STARLIGHT - E - FS,,32.858207,-96.875759,,,1
21686,21686,NORTHWEST @ SPUR 482 - E - MB,,32.859962,-96.886521,,,0
21687,21687,NORTHWEST @ TECHNOLOGY E - E - NS,,32.863563,-96.897515,,,0
21688,21688,TECHNOLOGY E @ NORTHWEST - N - NS,,32.863284,-96.89695,,,0
21692,21692,TECHNOLOGY W @ CONNECTOR - S - MB,,32.860725,-96.900043,,,1
21693,21693,TECHNOLOGY E @ TECHNOLOGY W - N - NS,,32.862407,-96.896981,,,1
21694,21694,NORTHWEST @ SPANGLER - W - MB,,32.868274,-96.911103,,,0
21695,21695,NORTHWEST @ NEWKIRK - E - MB,,32.868019,-96.910999,,,0
21697,21697,NORTHWEST @ LUNA - E - MB,,32.872409,-96.926255,,,1
21698,21698,ARAPAHO @ SPRUCEWOOD - E - MB,,32.960551,-96.680155,,,1
21700,21700,SHILOH @ KINGSLEY - S - NS,,32.87918,-96.665589,,,0
21701,21701,SHILOH @ KINGSLEY - N - NS,,32.87865,-96.665421,,,0
21702,21702,SHILOH @ OAKLAND - N - NS,,32.875858,-96.665413,,,0
21703,21703,SHILOH @ OAKLAND - S - FS,,32.875793,-96.665581,,,0
21704,21704,SHILOH @ GARLAND - S - NS,,32.871906,-96.665581,,,0
21705,21705,SHILOH @ GARLAND - N - FS,,32.872726,-96.665406,,,0
21706,21706,SHILOH @ GARLAND - N - MB,,32.86993,-96.665444,,,0
21707,21707,NORTHWEST @ JACKSON - W - MB,,32.864193,-96.651917,,,1
21708,21708,SATURN @ MAYFIELD - S - MB,,32.866783,-96.648354,,,0
21709,21709,MILLER @ SKILLMAN - E - NS,,32.894303,-96.638708,,,1
21710,21710,MILLER @ SKILLMAN - W - NS,,32.894447,-96.638634,,,1
21711,21711,1ST @ WANDA - N - NS,,32.901187,-96.630768,,,0
21712,21712,1ST @ WANDA - S - MB,,32.901795,-96.631081,,,0
21718,21718,LINDSLEY @ BANK - N - NS,,32.788044,-96.76088,,,1
21720,21720,LINDSLEY @ ST MARY - N - NS,,32.792602,-96.755417,,,0
21721,21721,LINDSLEY @ HENDERSON - S - NS,,32.793815,-96.753907,,,1
21722,21722,LINDSLEY @ GRAHAM - N - NS,,32.795761,-96.751587,,,0
21725,21725,LINDSLEY @ MOUNT AUBURN - N - NS,,32.799339,-96.747673,,,0
21726,21726,LINDSLEY @ GLASGOW - N - NS,,32.800762,-96.746132,,,0
21727,21727,LINDSLEY @ GLASGOW - S - NS,,32.800964,-96.745972,,,1
21728,21728,LINDSLEY @ CORDOVA - N - NS,,32.803306,-96.743203,,,0
21731,21731,LINDSLEY @ BLAIR - S - NS,,32.806934,-96.739396,,,0
21732,21732,TENISON MEMORIAL @ SHADYSIDE - N - MB,,32.805469,-96.733178,,,0
21733,21733,TENISON MEMORIAL @ EAST GRAND - S - MB,,32.805412,-96.733353,,,0
21745,21745,PEAVY @ GARLAND - N - MB,,32.837223,-96.695137,,,1
21749,21749,GARLAND @ TAVAROS - S - NS,,32.826312,-96.71128,,,0
21751,21751,GARLAND @ EMERALD ISLE - S - NS,,32.827673,-96.709668,,,0
21753,21753,BUCKNER @ PENNISULA - N - NS,,32.842973,-96.709376,,,0
21754,21754,NORTHCLIFF @ LAKE HIGHLANDS - E - N,,32.853084,-96.703286,,,1
21755,21755,PLANO @ LIPTONSHIRE - N - FS,,32.869201,-96.700364,,,1
21756,21756,PLANO @ MEADOWGLEN - N - MB,,32.964061,-96.69973,,,0
21757,21757,PLANO @ ARAPAHO - S - MB,,32.962043,-96.699993,,,0
21758,21758,PLANO @ ARAPAHO - N - MB2,,32.959529,-96.699761,,,0
21759,21759,BUCKINGHAM @ DIAMOND OAKS - E - NS,,32.93103,-96.675728,,,0
21760,21760,BUCKINGHAM @ DIAMOND OAKS - W - NS,,32.931335,-96.675417,,,0
21763,21763,ILLINOIS @ KEATS - E - NS,,32.720278,-96.881996,,,0
21764,21764,ILLINOIS @ WESTMORELAND - W - FS,,32.720492,-96.875437,,,1
21765,21765,ILLINOIS @ WRIGHT - W - MB,,32.720489,-96.86789,,,0
21766,21766,ILLINOIS @ ALASKA - W - NS,,32.720356,-96.815499,,,1
